40	24	4680174822031903225773859084945/127894135453708422767624587244549153077761220226791822589952
40	20	11099591886339070630490248875/390155884644486540234197910749961816198829322146888548352
40	16	12871613946350805294233068695/539048626232197738135921469300627847174075320146551898112
40	12	29107328584126332071539145021/1376569024463790885704141981472358050947439079532450021376
40	8	12632379190239794604536021/647399818439228752257460106031444123383509161418424320
40	4	30259631280899979874783667293/1623637341168825062311274875803801710949578077995689574400
40	0	49953422258007234503708091001/2720707624734451198124063892014442363806343055060915716096
42	42	2381102987378602206765019839807970417/26313924171593153552728959832210515783171471021802068717657391104
42	38	36590198873536753016194530048400155/1517399284156567223153146769508623273009887921088445594126516224
42	34	70617939846934150932344645818284081/12168753999567276107754131560669803520566308977559937069780828160
42	30	375882732162908209987107461365625/121617105378658094227602549651301528528908895434614072972148736
42	26	47645298074564711632698182933307/22571377117648419824201381700371341440147919593964714386784256
42	22	75700554239660097612995159392575/46382939791211587990391850307356492849534735868916500992622592
42	18	821974002422825290382768819475/603819434562521714631544112055213632633533670929875513376768
42	14	365222463873151287955726481463/305184453005305796360029385696355458092399565867586305392640
42	10	1065751516514329447233875562625/973299851201827003377861911471503444784170259661800853209088
42	6	3291378201955998327972272623409/3178992068463988865085032104656803223462383386229030780928000
42	2	570937876873075851782056939993/566598159309777773323614575606817203383162236228558955479040
44	44	1260470400488130696497820809171512090687/236835808145337023763352424121721436938556463702938273768704290324480
44	40	2381102987378602206765019839807970417/1684091146981961827374653429261473010122974145395332397930073030656
44	36	65862357972366155429150154087120279/194227108372040604563602786497103778945265653899321036048194076672
44	32	196160944019261530367624016161900225/1090320358361227939254770187836014395442741284389370361452362203136
44	28	233453247291739031058792702104962375/1908068140157963791493174630414934152736984361744436564299037540352
44	24	2311949195260492272105490787554335/24557658304001480768731103290004019486880936518233609252821270528
44	20	5605961749871383460174906071958535/71783924273235097631675532693857903115498122130221319354400636928
44	16	4664580085384703192018231389143/68370939052002458764433302534251882095120120277598211976200192
44	12	8023472032748084671693296892725/129467964520650870410106180537699595478741392971483470356283392
44	8	653370714086124641712638207515685/11245391974921061923262713247269812977101622689513663316700954624
44	4	62101631879342230344554190708509/1109367842670717461634726150879814110149736147581735036308684800
44	0	58729320247218102352488918429441/1061966835734897769429403318851634529769584077045527642269286400
46	46	285160726667251759379760451384383471725/908428796764875210340778052388771249024927688385142361876457668476928
46	42	1260470400488130696497820809171512090687/15157491721301569520854555143790171964067613676988049521197074580766720
46	38	2381102987378602206765019839807970417/119757592674272841057753132747482525164300383672556970519471859957760
46	34	914754971838418825404863251210003875/87013744550674190844494048350702492967479012946895824149590946349056
46	30	121831639111482951280723923957832991743/17106191862380499600102268729843206423586231259539744368020603799601152
46	26	3776042750762143295888484135386795625/691992712163954868381524665963816119392612995192648993985784281300992
46	22	171210090684990482526106559830939623/38006324997029200782443482037184402522241914844218996720002664497152
46	18	159064991476622746865604374203191719/40640744819308486043779378509753397456158936836802223880645283676160
46	14	17668082617418288870901287560125/5000845827803608412484264413933851947528785940304326361687785472
46	10	9291213935198653823543169716084529/2825508857698684595830157284054755971728052160209655257055528747008
46	6	61638901817491465896171186655185925/19621433408030686572631866819657307358782789231724050856593160404992
46	2	709784680465242079315402028733437/231030255489520842803930271421320017859754575496386725021745152000
48	48	1733086583679437911842129546027832756579/93367320107090374995098801787790972110698950869882383879668781497188352
48	44	285160726667251759379760451384383471725/58139442992952013461809795352881359937595372056649111160093290782523392
48	40	1260470400488130696497820809171512090687/1077866077959222721482990588002856673000363639252483521507347525743411200
48	36	59527574684465055169125495995199260425/96572522732533619028972126247569908292491829393549941026902107869937664
48	32	14567590202805260617498781232346389915/35004386379242645916870748593654031456631557208351234400749729274134528
48	28	1970593611428697481767077341559217280305/6203845582089994521637089459356469529620606536793080624135472311322017792
48	24	279632711269654568621297175862796054625/1070953084716287970847915992124364146958167602741786952146726509533462528
48	20	1868445719769440954955220533641642607/8275933490477364430733255260167964572890547137676089226604130494054400
48	16	120498452572548164740452585184146825/594516038499598424411858337056963985644382161726935389339725292634112
48	12	1203512532121795066924635575734665/6419909373293291176120975680570140288404013197717742265733778243584
48	8	876531823618784586271242782398688145/4930066823706673248471651277946487893406757116593183741152888895832064
48	4	140899190268492523972334367748484705/817248274010674945501365373567948801737238713397522372185721474646016
48	0	77204173563086426456140526537632081/452344455965569346606145846842944996233233306394822640738227978240000
50	50	2225447828076287850038182910645549407361113/2022770597376402351077490710535952789420621711776312295721882225232800907264
50	46	1733086583679437911842129546027832756579/5975508486853783999686323314418622215084732855672472568298802015820054528
50	42	513289308001053166883568812491890249105/7441848703097857723111653805168814072012207623251086228491941220162994176
50	38	6302352002440653482489104045857560453435/173838241053263440520776722033100724221498647738640542348705008951897358336
50	34	2843952775771350497264651004053719743443/116549238863492001936679503219924369322138710673815700256467001040747626496
50	30	706880422776491372019398096077342840575/38084772380615998757555374469895586224815134242686143028015705450258366464
50	26	145931195896351106626029954792380052261609/9601297017227278794213619177825867024751018698396854958662025511631457353728
50	22	122067231058388604588084995615105249665/9328064737883881024190132191757775291848655096070475701538351609664241664
50	18	283085317338488507521676752418008845/24213016840710917648773866818319987778971200768515186765836084645462016
50	14	24624301501065159204805285281388096367/2289656121920335767240775826105502709888764052505053753579440844667092992
50	10	113539204014273200061194716185390825/11201728186495746793198030829592699517956307659512557452295064017436672
